'True Positive Rate','False Positive Rate',Threshold
1,1,0
1,0.937269,0.01
1,0.892989,0.015
1,0.891144,0.02
1,0.811808,0.025
1,0.809963,0.026
1,0.804428,0.03
1,0.760148,0.033333
1,0.758303,0.04
1,0.728782,0.05
0.998941,0.686347,0.059167
0.998941,0.684502,0.06
0.998941,0.656827,0.07
0.998941,0.618081,0.075
0.998941,0.616236,0.07625
0.998941,0.612546,0.08
0.998941,0.607011,0.09
0.997881,0.590406,0.1
0.997881,0.560886,0.103333
0.997881,0.559041,0.1075
0.997881,0.557196,0.11
0.997881,0.54797,0.12
0.997881,0.52214,0.13
0.997881,0.483395,0.14
0.997881,0.464945,0.15
0.997881,0.439114,0.156667
0.997881,0.437269,0.16
0.997881,0.411439,0.165
0.997881,0.409594,0.17
0.995763,0.402214,0.172857
0.995763,0.400369,0.173333
0.995763,0.398524,0.18
0.995763,0.385609,0.180667
0.995763,0.383764,0.186
0.995763,0.381919,0.19
0.995763,0.370849,0.2
0.995763,0.359779,0.21
0.994703,0.341328,0.214
0.994703,0.339483,0.22
0.993644,0.321033,0.23
0.993644,0.313653,0.233333
0.993644,0.309963,0.235
0.993644,0.308118,0.235833
0.993644,0.306273,0.24
0.992585,0.295203,0.246667
0.992585,0.293358,0.25
0.992585,0.282288,0.26
0.990466,0.273063,0.269
0.990466,0.271218,0.27
0.989407,0.258303,0.28
0.989407,0.250923,0.284333
0.988347,0.250923,0.286667
0.988347,0.249077,0.287143
0.988347,0.245387,0.29
0.988347,0.238007,0.3
0.988347,0.221402,0.31
0.988347,0.212177,0.315
0.987288,0.210332,0.32
0.986229,0.206642,0.323333
0.986229,0.204797,0.324714
0.986229,0.202952,0.325
0.985169,0.202952,0.33
0.98411,0.201107,0.34
0.981992,0.199262,0.35
0.981992,0.188192,0.36
0.981992,0.182657,0.37
0.981992,0.175277,0.3725
0.981992,0.173432,0.38
0.981992,0.167897,0.388333
0.981992,0.166052,0.39
0.979873,0.154982,0.4
0.979873,0.153137,0.404167
0.979873,0.151292,0.41
0.977754,0.151292,0.415
0.977754,0.149446,0.43
0.977754,0.143911,0.435714
0.977754,0.140221,0.44
0.976695,0.138376,0.443333
0.976695,0.136531,0.446667
0.975636,0.136531,0.45
0.975636,0.134686,0.450833
0.974576,0.134686,0.46
0.973517,0.129151,0.462
0.973517,0.127306,0.47
0.973517,0.121771,0.48
0.971398,0.119926,0.483333
0.971398,0.118081,0.49
0.970339,0.112546,0.5
0.96928,0.110701,0.502
0.96928,0.107011,0.51
0.96928,0.103321,0.52
0.96928,0.101476,0.53
0.96822,0.097786,0.538571
0.966102,0.097786,0.54
0.966102,0.094096,0.56
0.965042,0.092251,0.57
0.963983,0.090406,0.58
0.961864,0.088561,0.59
0.960805,0.088561,0.595
0.960805,0.086716,0.596667
0.960805,0.084871,0.6
0.958686,0.081181,0.605
0.958686,0.079336,0.61
0.958686,0.077491,0.6275
0.957627,0.077491,0.65
0.955508,0.075646,0.6525
0.954449,0.075646,0.66
0.95339,0.070111,0.667651
0.95339,0.068266,0.67
0.951271,0.064576,0.68
0.945975,0.064576,0.686667
0.944915,0.064576,0.69
0.939619,0.060886,0.695
0.938559,0.060886,0.7
0.9375,0.059041,0.706667
0.936441,0.059041,0.71
0.934322,0.059041,0.7125
0.933263,0.059041,0.72
0.930085,0.055351,0.724595
0.930085,0.053506,0.725
0.927966,0.053506,0.726667
0.926907,0.053506,0.73
0.924788,0.053506,0.732857
0.924788,0.051661,0.735714
0.923729,0.051661,0.736667
0.923729,0.049815,0.74
0.920551,0.042435,0.75
0.918432,0.04059,0.757143
0.917373,0.04059,0.76
0.912076,0.04059,0.763333
0.912076,0.038745,0.765833
0.912076,0.0369,0.77
0.908898,0.03321,0.775
0.907839,0.03321,0.78
0.900424,0.02952,0.79
0.895127,0.02583,0.8
0.880297,0.02583,0.81
0.871822,0.02214,0.82
0.864407,0.020295,0.83
0.853814,0.01845,0.84
0.850636,0.01476,0.85
0.841102,0.01476,0.86
0.831568,0.01476,0.87
0.818856,0.01476,0.872381
0.817797,0.01476,0.88
0.801907,0.01476,0.885
0.800847,0.01476,0.888667
0.798729,0.01476,0.89
0.787076,0.01476,0.896667
0.784958,0.01476,0.8975
0.783898,0.01476,0.9
0.762712,0.01476,0.905
0.760593,0.01476,0.91
0.726695,0.01476,0.918333
0.725636,0.01476,0.92
0.700212,0.012915,0.925
0.700212,0.01107,0.93
0.672669,0.009225,0.936667
0.670551,0.009225,0.937333
0.669492,0.009225,0.94
0.626059,0.009225,0.95
0.580508,0.009225,0.953333
0.579449,0.009225,0.954
0.57839,0.009225,0.955
0.576271,0.009225,0.9575
0.575212,0.009225,0.96
0.525424,0.009225,0.966667
0.524364,0.009225,0.97
0.455508,0.00738,0.973333
0.45339,0.00738,0.975
0.452331,0.00738,0.976667
0.450212,0.00738,0.98
0.364407,0.00738,0.981333
0.362288,0.00738,0.984
0.361229,0.00738,0.99
0.238347,0.00369,0.993333
0.23411,0.00369,0.995
0.233051,0.00369,1
0,0,1.00001
